mitograph_data_extract_v2.py
directory: 2016_02_11_s16


image path	cellID	genotype	time	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2_11_16_yLB126_yLB183_KAc_yLB128_NC_cellasics_01_w2488 laser 5_s16_t001_cell_001	2016021116001	-C	-60	4	5.336939285091715	39.90311958815799	1.6437304805724824	0.37011678653540736	16.71092	1.3342348212729287	9.975779897039496	1.2261700899437538	0.71110269960934	20.58146456263737	1.4238518623776903	0.5221754188606123	84.55390447268502	32.05267280233379	0.41894	0.07557	8.0	0	96.3159	0.05541078145032871
2_11_16_yLB126_yLB183_KAc_yLB128_NC_cellasics_01_w2488 laser 5_s16_t001_cell_002	2016021116002	-C	-60	2	5.090341170195965	35.520440548150866	1.5754869584104012	0.4028750523689803	13.49703	2.5451705850979827	17.760220274075433	1.3999396424633934	0.5118963571270588	18.623953911051746	1.4103042903497844	0.5043247037796013	58.54398429012621	29.9202923977372	0.45677	0.08192999999999999	5.0	0	86.6977	0.05871368179543362
2_11_16_yLB126_yLB183_KAc_yLB128_NC_cellasics_01_w2488 laser 5_s16_t001_cell_003	2016021116003	-C	-60	3	5.914893674419449	43.99075821892526	1.6677195279411683	0.3595455945618113	17.030070000000002	1.9716312248064831	14.663586072975084	1.3016885763243458	0.6351683870695685	27.706983933403453	1.502925121657546	0.4674583193059548	76.27361074246552	37.543106162648336	0.44093	0.08471000000000001	8.0	0	83.2285	0.07106812779780303
2_11_16_yLB126_yLB183_KAc_yLB128_NC_cellasics_01_w2488 laser 5_s16_t001_cell_004	2016021116004	-C	-60	1	0.9576923022280698	7.090534456037414	1.2284441734131906	0.6626575499769821	1.73822	0.9576923022280698	7.090534456037414	1.2284441734131906	0.6626575499769821	7.090534456037415	1.2284441734131906	0.6626575499769821	19.714803875874	19.714803875874	0.47566	0.057329999999999985	2.0	0	8.0942	0.11831833933286423
2_11_16_yLB126_yLB183_KAc_yLB128_NC_cellasics_01_w2488 laser 5_s16_t001_cell_005	2016021116005	-C	-60	1	2.0202875188457643	14.702149225595367	1.3792530639548355	0.5256686597003608	4.66638	2.0202875188457643	14.702149225595367	1.3792530639548355	0.5256686597003608	14.702149225595367	1.3792530639548355	0.5256686597003608	27.903460015599734	27.903460015599734	0.4319	0.09961	3.0	0	11.7064	0.17257974431471368
2_11_16_yLB126_yLB183_KAc_yLB128_NC_cellasics_01_w2488 laser 5_s16_t001_cell_006	2016021116006	-C	-60	3	5.867021943208853	43.09476502715622	1.6551256106057868	0.3650380051281388	16.179660000000002	1.955673981069617	14.364921675718742	1.2959069137172337	0.6462026066072954	24.70778356513453	1.473898786250318	0.4826561875232602	75.23499073536186	35.25723800230123	0.44612	0.07144	7.0	0	102.4268	0.05728014487623213
2_11_16_yLB126_yLB183_KAc_yLB128_NC_cellasics_01_w2488 laser 5_s16_t001_cell_007	2016021116007	-C	-60	5	5.250053598615397	38.046817493276315	1.613847620596238	0.3839502436149048	12.20922	1.0500107197230792	7.609363498655262	1.1998007730208766	0.7168718265188018	11.007948421317508	1.2810489397571891	0.6318501180990114	95.02982836033695	23.128095451462283	0.4219	0.11101	10.0	0	77.6511	0.06761080781360981
2_11_16_yLB126_yLB183_KAc_yLB128_NC_cellasics_01_w2488 laser 5_s16_t001_cell_008	2016021116008	-C	-60	2	3.737200440128112	25.346147116021786	1.4752482777547231	0.45948333797746	8.128169999999999	1.868600220064056	12.673073558010893	1.2880787147276131	0.6184339669774254	16.424273333621866	1.3538398262178124	0.5558237404136942	46.6234382512561	26.802638679088716	0.46266	0.07593	5.0	0	47.7075	0.07833570067867969
2_11_16_yLB126_yLB183_KAc_yLB128_NC_cellasics_01_w2488 laser 5_s16_t001_cell_009	2016021116009	-C	-60	2	4.51666873770099	33.568221217661204	1.5938570049873937	0.3936418724915907	13.20791	2.258334368850495	16.784110608830602	1.3472095261507535	0.592839594986021	26.91724429741298	1.5120077876887497	0.4512428289358994	55.79982149621011	37.51991768245518	0.40946	0.10474	5.0	0	40.3852	0.11183970211119397
2_11_16_yLB126_yLB183_KAc_yLB128_NC_cellasics_01_w2488 laser 5_s16_t001_cell_010	2016021116010	-C	-60	2	4.613346443654187	35.03861605636327	1.6169355888952759	0.3824851338669896	12.79628	2.3066732218270936	17.519308028181634	1.3954560872680886	0.5357938381532634	22.6830902748856	1.48298031058132	0.4695181710786753	60.24371954472441	35.585047329686496	0.4188	0.07463	5.0	0	92.6734	0.04978069698159544
2_11_16_yLB126_yLB183_KAc_yLB128_NC_cellasics_01_w2488 laser 5_s16_t001_cell_011	2016021116011	-C	-60	2	3.482051828703348	25.371802506144427	1.511199687674877	0.4378811900251005	9.92913	1.741025914351674	12.685901253072213	1.291865647686099	0.633508515537824	17.845666917557267	1.4025608121585016	0.52691506267789	48.403058644911134	30.13189474943041	0.42	0.08506	5.0	0	47.4529	0.07337911547457264
