mitograph_data_extract_v2.py
directory: 2019_02_14_glucose


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_14_yLB126_glucose_01_w2488 laser 10_cell_001	2019021401001	glucose	3	3.7427633723680818	26.99387162747116	1.5216907592708258	0.4318641893929567	9.02641	1.2475877907893609	8.997957209157054	1.2664287006314012	0.6277376374421472	10.423620125548409	1.2847100372722486	0.6099426335294309	65.2279077136908	22.69037848156918	0.43982	0.10005	7.0	0	53.4548	0.0700173487201913
2019_02_14_yLB126_glucose_01_w2488 laser 10_cell_002	2019021401002	glucose	2	4.428017770640729	33.61753581077223	1.6056014713818587	0.38790420281650817	16.06697	2.2140088853203643	16.808767905386116	1.408799389920245	0.5168799412634543	25.143276583113003	1.5045830854466917	0.4471872842445751	60.986948426825144	36.57574606926802	0.39279	0.11279000000000003	3.0	0	92.2566	0.04799675872122676
2019_02_14_yLB126_glucose_01_w2488 laser 10_cell_003	2019021401003	glucose	1	0.7586965097629872	5.103708730577933	1.126362499694825	0.7882130738600622	1.09054	0.7586965097629872	5.103708730577933	1.126362499694825	0.7882130738600622	5.103708730577933	1.126362499694825	0.7882130738600622	15.197100502118461	15.197100502118461	0.50859	0.19959	2.0	0	21.2351	0.035728417090712415
2019_02_14_yLB126_glucose_01_w2488 laser 10_cell_004	2019021401004	glucose	2	3.8070661444666647	27.55984249675276	1.5288545236671744	0.42782649319808136	10.1166	1.9035330722333323	13.77992124837638	1.278993322999685	0.6688699322380981	21.411389818596234	1.4416996408767542	0.5036206471549693	48.48326552194087	32.81766353263668	0.4284	0.11965	6.0	0	83.8519	0.04540226452193289
2019_02_14_yLB126_glucose_01_w2488 laser 10_cell_005	2019021401005	glucose	3	3.615195026636573	29.04328389762982	1.5967498627903025	0.39221682973072974	12.0847	1.2050650088788577	9.681094632543273	1.3117247972726611	0.5994690918484694	17.05931415941061	1.4262826787289489	0.497979486873237	74.18935620927648	31.17904311064223	0.37856	0.10237	7.0	0	55.717	0.06488495480080717
2019_02_14_yLB126_glucose_01_w2488 laser 10_cell_006	2019021401006	glucose	5	3.1320530805629474	24.487994837713483	1.5380065288556668	0.4227500249446484	8.41235	0.6264106161125895	4.897598967542697	1.1779869411028074	0.7308397435603674	6.652427224484078	1.2147620034019904	0.6857812752444354	88.05296993996744	19.255525207448517	0.39636	0.11557	8.0	0	83.8511	0.03735255805306009
2019_02_14_yLB126_glucose_01_w2488 laser 10_cell_007	2019021401007	glucose	2	3.959882087409	29.394414207796373	1.5583425336417989	0.4117884402799217	10.55097	1.9799410437045	14.697207103898187	1.3259395567288703	0.610080208302517	26.041732599360945	1.507828805871968	0.44650699354868095	53.04295563101746	36.80298687189956	0.40902	0.08582999999999999	6.0	0	86.7708	0.045636113616665974
2019_02_14_yLB126_glucose_01_w2488 laser 10_cell_008	2019021401008	glucose	2	3.833975558147492	29.704389330557674	1.5835014742348803	0.3988072601870936	13.81232	1.916987779073746	14.852194665278835	1.3316091673334114	0.6152492956949566	26.753218654451388	1.5379607762185512	0.4299165978667403	54.57066178128722	39.07137641508477	0.39156	0.10472	6.0	0	73.9362	0.05185518809659533
2019_02_14_yLB126_glucose_01_w2488 laser 10_cell_009	2019021401009	glucose	1	1.5009962750847927	10.469192330882802	1.2850538352380914	0.6055602446801405	3.53277	1.5009962750847927	10.469192330882802	1.2850538352380914	0.6055602446801405	10.469192330882802	1.2850538352380914	0.6055602446801405	22.56784825839876	22.56784825839876	0.45577	0.08437	2.0	0	33.1696	0.04525216689633859
2019_02_14_yLB126_glucose_10_w2488 laser 10_cell_001	2019021400001	glucose	3	6.02298363491811	45.200303367422634	1.6803176331183631	0.3541744517283556	19.46436	2.00766121163937	15.066767789140878	1.341724289625584	0.591763513063445	29.59429905948752	1.5227367747961782	0.4468257148046199	81.96615204731803	38.47548328649268	0.41961	0.07218	9.0	0	79.4252	0.07583214943013188
