mitograph_data_extract_v2.py
directory: 2019_02_15_galactose


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_15_galactose_01_w2488 laser 10_cell_001	2019021501001	galactose	2	5.580628841243672	42.877978678949255	1.6787294525848666	0.3548449100266512	19.86588	2.7903144206218364	21.438989339474627	1.3902963793709673	0.5772404721131043	38.541445402066906	1.6298517976054083	0.3852810340431928	63.378775791186044	46.641012134515975	0.4039	0.08979	10.0	0	43.9848	0.12687630366043887
2019_02_15_galactose_01_w2488 laser 10_cell_002	2019021501002	galactose	2	5.703675798852227	41.78257276360357	1.6451439936011945	0.3694810486918374	18.447370000000006	2.8518378994261133	20.891286381801784	1.3507165830664916	0.6204484866897481	33.76415047411429	1.5618560200354814	0.4341181356541111	58.8635930742353	41.889634044949474	0.42857	0.10071	8.0	0	52.2321	0.10919866899573684
2019_02_15_galactose_01_w2488 laser 10_cell_003	2019021501003	galactose	2	7.484732624866612	53.30866991307534	1.6973240470929738	0.34711267432879994	23.59789	3.7423663124333055	26.65433495653767	1.385405097911354	0.6023679984409903	52.1839709223834	1.6846581935463945	0.3540461442724589	64.69203328045758	50.96369996105354	0.43855	0.10643	5.0	0	60.136	0.12446342664737614
2019_02_15_galactose_01_w2488 laser 10_cell_004	2019021501004	galactose	4	4.225915740356871	32.922105161407515	1.6138436540426109	0.3839521309862117	15.12113	1.0564789350892176	8.230526290351879	1.2643100096058846	0.6421825915686742	13.425068302281082	1.363450255791484	0.5450318592558693	88.28445620621555	27.255947701316927	0.40202	0.122	9.0	0	33.8999	0.12465864915108511
2019_02_15_galactose_01_w2488 laser 10_cell_005	2019021501005	galactose	1	4.812539238808953	34.615611974440625	1.584659104709017	0.3982247969867165	15.34613	4.812539238808953	34.615611974440625	1.584659104709017	0.3982247969867165	34.615611974440625	1.584659104709017	0.3982247969867165	42.31883831070827	42.31883831070827	0.42617	0.07591	3.0	0	31.6466	0.1520712885052092
2019_02_15_galactose_01_w2488 laser 10_cell_006	2019021501006	galactose	5	6.895733611951251	48.71469118714692	1.667481749705511	0.3596481422659738	15.65248	1.3791467223902505	9.742938237429383	1.2456399438241552	0.6664539339702268	12.564777973799224	1.3138086242460192	0.5906607311511897	105.99549206241569	24.486715587393928	0.46622	0.08718	10.0	0	57.4078	0.12011840920486852
2019_02_15_galactose_01_w2488 laser 10_cell_007	2019021501007	galactose	5	8.636924496609412	67.88939917950785	1.8261616267065413	0.2998620976055423	29.83138	1.7273848993218823	13.57787983590157	1.250113290226173	0.7020528703281562	48.45856489384987	1.6666231840119785	0.39109905543783613	118.50242465605305	51.6851702729745	0.39767	0.08362	13.0	1	63.6837	0.135622215678571
2019_02_15_galactose_10_w2488 laser 10_cell_001	2019021500001	galactose	2	6.4962000062609375	48.45552450836018	1.696458049339532	0.34746714878245777	25.35837	3.2481000031304688	24.22776225418009	1.488311925389621	0.460218800915669	28.93089551620124	1.5406290272596357	0.4280694767013567	71.46644819056624	39.43836802971751	0.41208	0.08753999999999999	4.0	0	58.5551	0.1109416601843552
2019_02_15_galactose_10_w2488 laser 10_cell_002	2019021500002	galactose	1	6.429960245502745	46.94610564791192	1.6755406206622647	0.35619685281772373	19.74041	6.429960245502745	46.94610564791192	1.6755406206622647	0.35619685281772373	46.94610564791192	1.6755406206622647	0.35619685281772373	50.02545758503274	50.02545758503274	0.41472	0.09014	4.0	0	65.6167	0.09799274034663044
2019_02_15_galactose_10_w2488 laser 10_cell_003	2019021500003	galactose	1	5.326257540374587	40.2894038485676	1.6527708239608228	0.3660789225442681	18.18957	5.326257540374587	40.2894038485676	1.6527708239608228	0.3660789225442681	40.2894038485676	1.6527708239608228	0.3660789225442681	48.013581189843435	48.013581189843435	0.38909	0.09822	4.0	0	39.9846	0.13320772348290558
2019_02_15_galactose_10_w2488 laser 10_cell_004	2019021500004	galactose	2	4.207027902079567	30.589492294121808	1.5579455488469722	0.4119983251211685	11.11948	2.103513951039784	15.294746147060904	1.3544686300576037	0.5624186831287639	19.913003913395013	1.4304968048915556	0.4999310280200634	54.504055501707704	31.717480222494803	0.44341	0.07121	6.0	0	41.2018	0.10210786669707554
2019_02_15_galactose_10_w2488 laser 10_cell_005	2019021500005	galactose	2	7.7390261184857225	54.75151762057773	1.7010898285169556	0.3455775365725965	24.47143	3.8695130592428617	27.375758810288865	1.4200387708841806	0.5443171615238878	44.46188366573269	1.6172926727436587	0.3976275049048371	66.54774863609295	46.09484400103934	0.42963	0.07176	7.0	0	74.7056	0.10359365453842445
2019_02_15_galactose_10_w2488 laser 10_cell_006	2019021500006	galactose	3	6.141901853684133	44.32075829944148	1.653080126652718	0.3659419435782981	16.58077	2.0473006178947117	14.773586099813823	1.3633524771353838	0.5449321146015861	16.212522419333098	1.3897321676248076	0.5235921546684656	81.88157469349154	28.84904179935512	0.4381	0.10318	6.0	0	72.027	0.0852722153315303
2019_02_15_galactose_10_w2488 laser 10_cell_007	2019021500007	galactose	2	9.50620894690761	66.91720347155736	1.7559994573500166	0.3243032084150001	29.09295	4.753104473453805	33.45860173577868	1.4161230206218425	0.5833892984962097	59.29953643583697	1.6991385097733198	0.3616942103417523	69.79342941693449	53.31704163759293	0.42154	0.08800000000000001	5.0	0	102.2641	0.09295744006848551
2019_02_15_galactose_10_w2488 laser 10_cell_008	2019021500008	galactose	4	9.708694498133896	71.93115950953776	1.8078519269366944	0.3059667877805093	29.98982	2.4271736245334736	17.98278987738444	1.340304611872028	0.5923797688696034	40.204574338660905	1.5800219911139768	0.43060661647808096	110.832108144853	44.27110223740469	0.42249	0.10401	10.0	0	69.9139	0.1388664414105621
2019_02_15_galactose_10_w2488 laser 10_cell_009	2019021500009	galactose	3	7.191307164831983	52.17613204771797	1.7017323893761729	0.34531661108610817	21.08276	2.397102388277328	17.39204401590599	1.3513121733752875	0.5779443266985776	35.19911971966839	1.5508841080691258	0.4318650932118596	83.66526054504877	40.77961581727494	0.4374	0.09159	7.0	0	62.501999999999995	0.11505723280586194
2019_02_15_galactose_10_w2488 laser 10_cell_010	2019021500010	galactose	4	3.8721186691583283	29.222881229506715	1.5654405094115835	0.4080626672854709	11.10461	0.9680296672895821	7.305720307376679	1.2188415047279684	0.6987777179556274	10.733244159486103	1.3098590989258017	0.591028591936301	79.79668193971331	24.213001730730838	0.38557	0.10204	9.0	1	36.1122	0.10722466837130742
