mitograph_data_extract_v2.py
directory: 2019_02_15_glycerol


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_15_glycerol_01_w2488 laser 10_cell_001	2019021501001	glycerol	7	9.287108079146488	70.80867433197594	1.8204314774071917	0.3017528129376483	25.78526	1.3267297255923556	10.115524904567993	1.2625355215901437	0.6549069791346513	16.915528929303633	1.390268731085187	0.5435225670046957	157.3251732586842	29.91465855982668	0.40281	0.10448	19.0	0	68.7757	0.135034729986703
2019_02_15_glycerol_01_w2488 laser 10_cell_002	2019021501002	glycerol	2	7.175856040984278	54.49235930697797	1.7403416119231745	0.3301649683683893	25.80298	3.5879280204921384	27.246179653488984	1.5504156848593302	0.4161164226819208	27.245502411182645	1.5503953751591568	0.4161273236020733	79.28878981658347	39.64283729511968	0.37879	0.09996	11.0	0	40.099000000000004	0.17895349113405015
2019_02_15_glycerol_01_w2488 laser 10_cell_003	2019021501003	glycerol	4	11.494617468214338	86.57392656571744	1.8747929908111052	0.2845072629717612	41.73024	2.873654367053585	21.64348164142936	1.2825674400360405	0.6999339278858493	67.17043855830416	1.746357915971037	0.3592015904990956	108.19491776976787	59.371170364337814	0.41002	0.09566	13.0	0	77.6128	0.14810208455582505
2019_02_15_glycerol_01_w2488 laser 10_cell_004	2019021501004	glycerol	4	9.778264957450949	68.57516937952423	1.7609787498132143	0.3224718205688348	28.90283	2.4445662393627376	17.143792344881057	1.3344189356810254	0.597304100217255	26.748503719912453	1.4763740532089549	0.4753419353021852	107.34161697213621	35.161062946304746	0.45898	0.09216	6.0	0	76.9341	0.12709923112704183
2019_02_15_glycerol_10_w2488 laser 10_cell_001	2019021500001	glycerol	6	6.798391339699679	51.263285132984755	1.718669755647455	0.33854400759002345	18.9113	1.13306522328328	8.543880855497457	1.2415063168094076	0.6714023632497091	11.272538333852793	1.3112744635268407	0.6004330018876285	126.33600841765215	24.665357297358703	0.4305	0.11131	12.0	0	66.4437	0.1023180728902767
2019_02_15_glycerol_10_w2488 laser 10_cell_002	2019021500002	glycerol	11	7.128721322375867	53.31322165406357	1.7251949923340002	0.33598788834943183	15.78157	0.6480655747614424	4.846656514005779	1.143646507293515	0.7747020217514443	6.078642131312775	1.1820807460104157	0.7282616766140738	177.56513965413654	17.88260933316626	0.43233	0.09454	22.0	0	84.7521	0.08411262166218733
2019_02_15_glycerol_10_w2488 laser 10_cell_003	2019021500003	glycerol	1	2.6847698665788435	19.404527325215547	1.4412537500063742	0.4814144251857245	7.6357	2.6847698665788435	19.404527325215547	1.4412537500063742	0.4814144251857245	19.404527325215547	1.4412537500063742	0.4814144251857245	31.838128967554997	31.838128967554997	0.34586	0.12499	3.0	0	30.1869	0.08893824362815803
2019_02_15_glycerol_10_w2488 laser 10_cell_004	2019021500004	glycerol	2	4.456897984730496	33.18777330786133	1.5918522809384	0.39463397489697255	12.7652	2.228448992365248	16.593886653930667	1.3986467337960726	0.5201065659807363	19.784225188197645	1.4454242235789083	0.485515973255313	59.19940915614785	32.5247531676632	0.43631	0.10058	6.0	0	40.6753	0.10957259036148463
2019_02_15_glycerol_10_w2488 laser 10_cell_005	2019021500005	glycerol	4	5.254122458012111	39.199197961897525	1.6376828389154083	0.3728553712072456	13.88571	1.3135306145030274	9.799799490474381	1.2831551875506753	0.6220959987014953	13.877353582438134	1.3546649125449142	0.5546604459043583	92.02017667441704	26.827766290391914	0.41449	0.08233	9.0	0	59.946999999999996	0.0876461283802711
2019_02_15_glycerol_10_w2488 laser 10_cell_006	2019021500006	glycerol	1	3.181502284985392	25.29829543186728	1.5551041770409275	0.4135052465177082	10.62428	3.181502284985392	25.29829543186728	1.5551041770409275	0.4135052465177082	25.29829543186728	1.5551041770409275	0.4135052465177082	39.994903237914905	39.994903237914905	0.35549000000000003	0.09834	2.0	0	32.0933	0.09913291200921662
