mitograph_data_extract_v2.py
directory: 2019_02_16_ethanol


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_16_ethanol_01_w2488 laser 10_cell_001	2019021601001	ethanol	2	5.569529773066846	41.248084815779	1.6476071025949734	0.3683771546490013	19.12775	2.784764886533423	20.6240424078895	1.4193829150733517	0.5187459054898029	28.61871527694529	1.5263782334078635	0.4416684202655533	63.496872878220174	38.65924804581151	0.41929	0.10019	8.0	0	60.8461	0.09153470432890269
2019_02_16_ethanol_01_w2488 laser 10_cell_002	2019021601002	ethanol	3	7.308512979865508	54.63511338132891	1.7320118322029567	0.33334833546854314	26.12445	2.4361709932885027	18.21170446044297	1.3115837363548941	0.6449328792093314	39.83632352735318	1.5997370303466587	0.4196901703867291	81.24973549735087	45.4880529138246	0.39296	0.10388	10.0	0	70.2369	0.10405517583870455
2019_02_16_ethanol_01_w2488 laser 10_cell_003	2019021601003	ethanol	2	6.237648965302387	46.721121668230474	1.6885253739215096	0.3507396121886924	21.43689	3.1188244826511937	23.360560834115237	1.3922362018988237	0.5790250152848846	40.956494833749325	1.6302719111895212	0.3883157525180779	63.97706777196324	46.89627248798007	0.4113	0.10637	6.0	0	64.1823	0.09718643559520908
2019_02_16_ethanol_01_w2488 laser 10_cell_004	2019021601004	ethanol	4	4.5268328956219985	34.26402393409063	1.6090849237262344	0.3862264999779343	14.03897	1.1317082239054994	8.566005983522658	1.2426755082440089	0.671267950427362	11.720769417871145	1.3252097305294774	0.5829655341362943	84.54359972801022	25.21520921337553	0.38411	0.09466	7.0	0	48.7657	0.09282821523369907
2019_02_16_ethanol_01_w2488 laser 10_cell_005	2019021601005	ethanol	1	5.3276974703312865	40.999884713145825	1.667129757808443	0.3598000279791334	22.465770000000006	5.3276974703312865	40.999884713145825	1.667129757808443	0.3598000279791334	40.999884713145825	1.667129757808443	0.3598000279791334	49.27588097924138	49.27588097924138	0.37596	0.09468	4.0	0	44.4191	0.11994158977402258
2019_02_16_ethanol_01_w2488 laser 10_cell_006	2019021601006	ethanol	3	6.675274940381808	49.558528357362846	1.700176800639854	0.345948799896697	21.87663	2.2250916467939357	16.51950945245428	1.3740807000140198	0.5536420532946688	23.05499619539228	1.4714804264246646	0.4735494047763396	86.15985630728643	34.5432159475324	0.4205100000000001	0.08801	7.0	0	65.1095	0.10252382433257524
2019_02_16_ethanol_01_w2488 laser 10_cell_007	2019021601007	ethanol	3	10.088447434396468	76.6173563711682	1.8421008687738636	0.29469528355704944	36.79401	3.3628158114654885	25.53911879038941	1.4716401964669708	0.4918138245613881	39.244422895020186	1.6228610329599182	0.3883649806188484	107.65375645305319	46.262351830029424	0.40341	0.09349	9.0	0	103.4666	0.09750438725537001
2019_02_16_ethanol_01_w2488 laser 10_cell_008	2019021601008	ethanol	2	4.2545377123178385	31.18576164873529	1.5671791900258127	0.4071577330095756	13.99709	2.12726885615892	15.592880824367645	1.3933502923361405	0.5169667319549148	17.113609424569454	1.4095560354591403	0.5049558771776232	57.74536686068057	29.876866420180697	0.40265	0.11028	4.0	0	30.5046	0.13947200462611667
2019_02_16_ethanol_10_w2488 laser 10_cell_001	2019021600001	ethanol	5	9.629604664401057	75.68331858096016	1.859467256463972	0.2892164090437587	37.7909	1.9259209328802116	15.136663716192029	1.2878543266773537	0.6662077750131477	45.34243485323675	1.6445529736556	0.3969705582947761	128.27358000084354	49.51911288470751	0.38246	0.10081	16.0	0	64.9957	0.14815756526048734
2019_02_16_ethanol_10_w2488 laser 10_cell_002	2019021600002	ethanol	3	8.430323752751331	64.6985310318029	1.7971751164615342	0.30961301353323195	30.971870000000006	2.810107917583777	21.566177010600967	1.3670616620095126	0.5969544613980722	54.79603339209386	1.713616208878413	0.3546371415302069	92.17241669474086	54.69101899726558	0.38871	0.10463	7.0	0	68.5432	0.12299285345229477
2019_02_16_ethanol_10_w2488 laser 10_cell_003	2019021600003	ethanol	6	7.621856569604285	59.01965027400237	1.7751538403982503	0.3173423308865677	28.74844	1.2703094282673806	9.836608379000397	1.2229952021251222	0.7195291254379527	30.207136744369283	1.5287173498766045	0.4559778254688091	128.18114054046808	39.77612700273592	0.38965	0.10903	13.0	0	59.4465	0.12821371434153878
2019_02_16_ethanol_10_w2488 laser 10_cell_004	2019021600004	ethanol	1	3.6553441429662232	25.23382735992505	1.4828825153325178	0.4547644537568805	9.74013	3.6553441429662232	25.23382735992505	1.4828825153325178	0.4547644537568805	25.23382735992505	1.4828825153325178	0.4547644537568805	34.67739137940072	34.67739137940072	0.42904	0.09496	3.0	0	32.6239	0.11204497754610035
