mitograph_data_extract_v2.py
directory: 2019_02_16_sucrose


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_16_sucrose_01_w2488 laser 10_cell_001	2019021601001	sucrose	1	3.9291641487984874	27.9032377270293	1.5222471855419963	0.43154852888215206	12.09342	3.9291641487984874	27.9032377270293	1.5222471855419963	0.43154852888215206	27.9032377270293	1.5222471855419963	0.43154852888215206	37.512993864474176	37.512993864474176	0.43542	0.1014	3.0	0	66.4311	0.05914645623508398
2019_02_16_sucrose_01_w2488 laser 10_cell_002	2019021601002	sucrose	1	6.149236662840496	45.97613409429884	1.6829986225828308	0.3530469621848081	21.35573	6.149236662840496	45.97613409429884	1.6829986225828308	0.3530469621848081	45.97613409429884	1.6829986225828308	0.3530469621848081	50.69644057305519	50.69644057305519	0.42484	0.08488	4.0	0	80.56	0.07633114030338252
2019_02_16_sucrose_01_w2488 laser 10_cell_003	2019021601003	sucrose	3	5.31970156741541	38.832804586084904	1.6232854401916008	0.3794986308039328	14.54994	1.7732338558051366	12.944268195361635	1.2854706283970427	0.6451688871879542	20.74548852578284	1.427420598476178	0.5151673530154176	72.26771722517918	32.10003460761567	0.44799999999999995	0.09392	4.0	0	86.2449	0.061681346577193666
2019_02_16_sucrose_01_w2488 laser 10_cell_004	2019021601004	sucrose	1	3.3752036964052223	23.89491134903011	1.4818718684847771	0.4553849702789282	9.18545	3.3752036964052223	23.89491134903011	1.4818718684847771	0.4553849702789282	23.89491134903011	1.4818718684847771	0.4553849702789282	34.606537386007574	34.606537386007574	0.4424300000000001	0.09042	3.0	0	54.6168	0.06179790277726308
2019_02_16_sucrose_01_w2488 laser 10_cell_005	2019021601005	sucrose	1	3.128171312683645	21.404324832555357	1.4385066085091658	0.48325491218898	8.76993	3.128171312683645	21.404324832555357	1.4385066085091658	0.48325491218898	21.404324832555357	1.4385066085091658	0.48325491218898	31.656417929525205	31.656417929525205	0.46863	0.04452	3.0	0	46.2751	0.06759945008619418
2019_02_16_sucrose_01_w2488 laser 10_cell_006	2019021601006	sucrose	3	4.447601898470765	33.73701161662624	1.6060877665393276	0.3876693372238589	12.84813	1.4825339661569217	11.245670538875412	1.3133791686417764	0.5944999827589205	14.822340298045106	1.3769477377824648	0.5384764693123576	74.05758294944181	28.26034070793987	0.39847	0.07495	8.0	0	82.5875	0.05385320900221904
2019_02_16_sucrose_10_w2488 laser 10_cell_001	2019021600001	sucrose	6	6.650262531796869	52.28924711036194	1.7485760891290885	0.3270626334763173	26.53263	1.1083770886328117	8.714874518393657	1.2795084029257575	0.6354357810813146	15.583048619518518	1.4014540730334009	0.5213171150217627	139.21587256201065	29.97144477883147	0.3694	0.12841	8.0	2	108.4266	0.06133423469699197
2019_02_16_sucrose_10_w2488 laser 10_cell_002	2019021600002	sucrose	5	7.20111626325126	56.90788626783041	1.7764141516746206	0.3168922013471837	25.0977	1.440223252650252	11.381577253566082	1.3009340595065357	0.6234208247029002	30.75284180606387	1.5488910988881939	0.43416616171533134	124.76974508193804	40.801316367854135	0.35789	0.14017000000000002	8.0	0	80.3806	0.08958773961940145
2019_02_16_sucrose_10_w2488 laser 10_cell_003	2019021600003	sucrose	4	7.046712402318124	53.15531950170145	1.7292951437764499	0.3343965254329448	20.90423	1.761678100579531	13.288829875425362	1.2863704075003848	0.6504764914301413	28.884515340332023	1.512123744248182	0.4611097948031013	98.14937325211002	38.24082013467513	0.40315	0.1258	12.0	0	80.5538	0.08747833624631146
2019_02_16_sucrose_10_w2488 laser 10_cell_004	2019021600004	sucrose	3	5.690009656316055	45.80340624576913	1.7238619802078636	0.33650770849656336	19.36494	1.8966698854386852	15.267802081923044	1.4356214729075858	0.4880994413069937	19.651996302302283	1.4734287698320496	0.463194052388533	94.97761478521593	34.19963841498117	0.39385	0.10985	10.0	0	65.7312	0.0865648224331224
2019_02_16_sucrose_10_w2488 laser 10_cell_005	2019021600005	sucrose	1	6.709837441931274	51.783010769073755	1.7406994376096114	0.3322294745898944	24.53697	6.709837441931274	51.783010769073755	1.7349258594088364	0.3322294745898944	51.783010769073755	1.7349258594088364	0.3322294745898944	55.53527767500771	55.53527767500771	0.3884	0.11519	9.0	1	77.3508	0.0867455468066429
2019_02_16_sucrose_10_w2488 laser 10_cell_006	2019021600006	sucrose	4	4.891764792612816	38.97177814875383	1.6722884602970438	0.35758361797801214	17.50519	1.2229411981532037	9.742944537188457	1.268157612014523	0.6609052260745673	27.04840167872645	1.5239000447977933	0.4464582106119453	93.05319218448669	38.58045275053366	0.36904	0.09705	9.0	0	54.4364	0.08986201866054361
2019_02_16_sucrose_10_w2488 laser 10_cell_007	2019021600007	sucrose	3	6.847999506566175	55.69273341534938	1.787046957727155	0.31313244641223115	26.10143	2.2826665021887256	18.564244471783127	1.3615054294854476	0.6000610290456486	47.39036210679636	1.706552300997574	0.3547617324270848	90.76332761828684	53.82719207213104	0.35746999999999995	0.1203	10.0	0	84.5765	0.08096811178715335
2019_02_16_sucrose_10_w2488 laser 10_cell_008	2019021600008	sucrose	1	4.839336746457595	36.980357783027074	1.6422042451092675	0.3741423860971863	18.75487	4.839336746457595	36.980357783027074	1.634863674349617	0.3741423860971863	36.980357783027074	1.634863674349617	0.3741423860971863	46.46980170600522	46.46980170600522	0.39563	0.09629	6.0	1	60.9908	0.07934535612678625
2019_02_16_sucrose_10_w2488 laser 10_cell_009	2019021600009	sucrose	1	5.009988525552097	36.37325779410221	1.6027660245866326	0.3892778963063496	16.17788	5.009988525552097	36.37325779410221	1.6027660245866326	0.3892778963063496	36.37325779410221	1.6027660245866326	0.3892778963063496	43.78613077165653	43.78613077165653	0.43446	0.09537	4.0	0	69.8026	0.07177366638996394
2019_02_16_sucrose_10_w2488 laser 10_cell_010	2019021600010	sucrose	3	3.787974207028643	28.50286330275283	1.5573988333488586	0.4122876349630939	9.81937	1.2626580690095477	9.500954434250943	1.2675467995288718	0.6489227430720416	17.840023746638483	1.4144343343939731	0.5125225475888273	67.96940539163663	30.719092514775024	0.43026	0.10138	5.0	1	46.6935	0.08112422943297552
2019_02_16_sucrose_10_w2488 laser 10_cell_011	2019021600011	sucrose	3	3.8562431561619355	29.76866674997393	1.582156693998649	0.3994854939493712	12.75258	1.2854143853873117	9.922888916657977	1.248022878650015	0.6818303857968918	15.421312704599421	1.382062617824313	0.5580608291333099	66.41361639521969	29.582045683747396	0.40247	0.13294	6.0	0	61.0677	0.06314701808258597
2019_02_16_sucrose_10_w2488 laser 10_cell_012	2019021600012	sucrose	3	5.877322709893867	46.26054871654632	1.7138395017145789	0.3404549892272189	21.92209	1.9591075699646223	15.42018290551544	1.2847578752987734	0.6804239271723523	33.33627391126346	1.5788923297418085	0.4360497237423844	77.50144381822211	44.02588544705678	0.40159	0.11368	10.0	0	78.6151	0.07476073565884755
2019_02_16_sucrose_10_w2488 laser 10_cell_013	2019021600013	sucrose	2	2.5926929356257964	20.939834434124254	1.5147031598038003	0.4358579152183079	9.70155	1.2963464678128982	10.469917217062127	1.341643991640853	0.5600616470667769	10.903493676132397	1.3544909458400385	0.5493646795540762	51.780087960623824	26.628478333354284	0.34179	0.09363	5.0	0	19.6001	0.13227957692184206
2019_02_16_sucrose_11_w2488 laser 10_cell_001	2019021601001	sucrose	3	5.4552585674366085	39.95965756380661	1.6329154694313668	0.3750356850748117	14.89017	1.8184195224788693	13.319885854602205	1.312485051130078	0.6034167269588716	21.34412051779839	1.4341541192253202	0.5056062135248078	75.31609404505913	32.410578387363	0.44485	0.08768	8.0	0	91.5238	0.05960480844803875
2019_02_16_sucrose_11_w2488 laser 10_cell_002	2019021601002	sucrose	2	2.332331936348456	16.93260335086455	1.4109870211169473	0.5022893409533603	7.676139999999998	1.166165968174228	8.466301675432275	1.2425032583197912	0.657149490369398	9.829585951358276	1.2771750249465537	0.6206494906451002	41.386469718033034	22.403694534891738	0.42925	0.098	2.0	0	49.2738	0.047334119478271534
2019_02_16_sucrose_11_w2488 laser 10_cell_003	2019021601003	sucrose	6	8.542966568860889	67.58635683797752	1.8335894016768628	0.2990181558886301	29.84379	1.4238277614768151	11.264392806329589	1.3050921316215245	0.6130796144787553	28.906244593793392	1.5154314086655032	0.4624726720908051	149.62249956521552	38.89807244753232	0.38933	0.10812	14.0	1	90.6402	0.09425140907523251
2019_02_16_sucrose_11_w2488 laser 10_cell_004	2019021601004	sucrose	1	4.416429140613811	33.28834747421381	1.5991172208817346	0.39105640149281584	17.60587	4.416429140613811	33.28834747421381	1.5991172208817346	0.39105640149281584	33.28834747421381	1.5991172208817346	0.39105640149281584	43.48776491625884	43.48776491625884	0.37702	0.10869	3.0	0	60.7902	0.07265034727001739
2019_02_16_sucrose_11_w2488 laser 10_cell_005	2019021601005	sucrose	2	6.621329366852718	47.45506628441693	1.6682104320902496	0.3593340187904556	20.33758	3.31066468342636	23.727533142208465	1.4404333496671091	0.5020538265663614	32.28114927723728	1.541038522711609	0.4328629824515392	66.15766279497778	39.76867269994734	0.41929	0.09654	5.0	0	80.5742	0.08217679315280471
2019_02_16_sucrose_11_w2488 laser 10_cell_006	2019021601006	sucrose	1	2.3849063633632768	16.788535979058768	1.394570818042714	0.5141843494920175	6.858789999999999	2.3849063633632768	16.788535979058768	1.394570818042714	0.5141843494920175	16.788535979058768	1.394570818042714	0.5141843494920175	28.84349653072046	28.84349653072046	0.38785	0.07442	1.0	0	41.5138	0.05744851985034559
2019_02_16_sucrose_12_w2488 laser 10_cell_001	2019021602001	sucrose	2	4.16404908010387	31.352701735012587	1.5826691730005091	0.3992268236163117	13.5887	2.082024540051935	15.676350867506294	1.3444968589940645	0.5963571639161517	28.600800206666197	1.5415097129632174	0.4258369366875154	55.56001045604353	39.23661272342137	0.39749	0.09436	5.0	0	69.7229	0.0597228325285361
2019_02_16_sucrose_12_w2488 laser 10_cell_002	2019021602002	sucrose	2	3.3851589424806185	24.96955203287753	1.513341557504886	0.4366425789530732	8.16046	1.6925794712403093	12.484776016438765	1.2910492442951145	0.6362151116975256	17.844500563078906	1.4079649126120557	0.5231893489770604	48.44770182985239	30.48161642806287	0.44081	0.10026	3.0	0	53.9498	0.06274645953239157
2019_02_16_sucrose_12_w2488 laser 10_cell_003	2019021602003	sucrose	3	4.93587458705762	36.07474471569314	1.6041249689141384	0.3886186173555255	13.76961	1.6452915290192065	12.024914905231046	1.257860887023632	0.6769491514038224	24.575562055333872	1.4667377067993554	0.4857927610034202	68.56760595534007	34.62124677336934	0.43678	0.08993999999999999	6.0	0	76.6497	0.06439522381767471
2019_02_16_sucrose_12_w2488 laser 10_cell_004	2019021602004	sucrose	2	6.208228067134058	46.041737776748285	1.678847456272485	0.35479502873914925	20.88166	3.1041140335670296	23.020868888374142	1.3962115310724097	0.5666985320743066	37.40939430810554	1.5961911637274946	0.4095486619622387	63.62297443393139	44.38589618558711	0.43742	0.09468	8.0	0	86.4596	0.07180495939298885
2019_02_16_sucrose_12_w2488 laser 10_cell_005	2019021602005	sucrose	2	5.367101001028937	40.432451769841975	1.6514916680014582	0.36664623195735024	18.19128	2.6835505005144684	20.216225884920988	1.4433125320647902	0.4929285939713002	28.26080219296267	1.5317722402752207	0.4330341261172057	65.64106582593098	38.71695055206778	0.4214600000000001	0.09014	6.0	0	71.6828	0.07487292629513546
2019_02_16_sucrose_12_w2488 laser 10_cell_006	2019021602006	sucrose	2	4.420656861804707	33.361870983851	1.6003717203243593	0.3904435591718346	13.30136	2.210328430902353	16.6809354919255	1.3607793347585908	0.5760391307522879	26.598887508597254	1.516649640714969	0.4468433832843665	57.04028519906081	37.79437138023435	0.4303	0.07726	6.0	0	70.1395	0.06302663779759916
2019_02_16_sucrose_12_w2488 laser 10_cell_007	2019021602007	sucrose	1	3.0708592502820777	22.973242683627266	1.4995091406772398	0.4447354668910704	9.88684	3.0708592502820777	22.973242683627266	1.4995091406772398	0.4447354668910704	22.973242683627266	1.4995091406772398	0.4447354668910704	35.856965977014326	35.856965977014326	0.39344	0.09527	3.0	0	46.5414	0.06598123928979527
2019_02_16_sucrose_12_w2488 laser 10_cell_008	2019021602008	sucrose	3	5.092876780312395	38.18273389242175	1.6331913029207186	0.3749090144689559	13.14944	1.6976255934374649	12.727577964140586	1.3455093967066565	0.5592884069070841	14.563987724604132	1.3777746480586708	0.5342345866059757	78.7428601634182	28.197694825954013	0.41073	0.08315	8.0	0	70.2012	0.07254686216635035
2019_02_16_sucrose_12_w2488 laser 10_cell_009	2019021602009	sucrose	2	6.150622986927794	48.00551695220955	1.719612041127799	0.3381730893904229	20.62618	3.075311493463897	24.00275847610477	1.4894162624115943	0.4706852785863082	39.148057816496966	1.6360877408752081	0.3792959093915195	73.30423416397949	47.08249305516391	0.41623	0.08545	7.0	0	94.5373	0.06506027765683803
