,genotype,variable,value
0,glucose,0,1321.9479068338403
6,petite,0,457.0135698114539
7,reg1,0,1823.2238910251708
8,rgt2snf3,0,6059.971031905767
9,mig1mig2,0,1399.7224539594836
10,snf1,0,1230.3847845075557
11,hxk2,0,3018.7584351472474
12,glucose,1,492.61712979871334
18,petite,1,1018.3703171038936
19,reg1,1,1643.3855611775207
20,rgt2snf3,1,3578.599381909622
21,mig1mig2,1,1729.8570629472265
22,snf1,1,1326.4892711118162
23,hxk2,1,3366.951117127072
24,glucose,2,1023.9036563852889
30,petite,2,634.6889619886293
31,reg1,2,1828.4599504319674
32,rgt2snf3,2,3144.2305814912074
33,mig1mig2,2,936.8156291498589
34,snf1,2,1125.2374200201643
35,hxk2,2,3002.185775634913
36,glucose,3,1060.2460126847227
42,petite,3,242.95709377733158
43,reg1,3,2842.1797139592018
44,rgt2snf3,3,3155.3944222477517
45,mig1mig2,3,1193.0236840411212
46,snf1,3,1122.0646006316094
47,hxk2,3,1804.4463153004958
0,glucose,0,578.6783378571922
6,petite,0,51.23142203438544
7,reg1,0,2381.618562262168
8,rgt2snf3,0,4291.901723342792
9,mig1mig2,0,1624.7602964872026
10,snf1,0,1179.0992637290003
11,hxk2,0,6644.53751697839
12,glucose,1,988.1140226106825
18,petite,1,758.3141117382919
19,reg1,1,2547.6990895773542
20,rgt2snf3,1,6381.342962790122
21,mig1mig2,1,2170.00244645746
22,snf1,1,2437.1638783072085
23,hxk2,1,2136.8774373423057
24,glucose,2,566.6790483436783
30,petite,2,-320.6410272460275
31,reg1,2,2562.5356808297915
32,rgt2snf3,2,4181.918800666102
33,mig1mig2,2,1367.0732447337011
34,snf1,2,630.5295948244292
35,hxk2,2,2034.4306674759052
36,glucose,3,1741.51276449796
42,petite,3,1170.5354900379493
43,reg1,3,2745.9701441956486
44,rgt2snf3,3,7066.867551903839
45,mig1mig2,3,1704.2403224584464
46,snf1,3,2665.673380028979
47,hxk2,3,2014.3933114651004
0,glucose,0,58.9188726178757
6,petite,0,1165.3403362429915
7,reg1,0,1980.2062853038367
8,rgt2snf3,0,4697.910841965235
9,mig1mig2,0,1329.1802678411539
10,snf1,0,1986.7810181578511
11,hxk2,0,2046.0466658996177
12,glucose,1,1653.069061237934
18,petite,1,-114.11148602452829
19,reg1,1,1995.390003133115
20,rgt2snf3,1,11381.544369434818
21,mig1mig2,1,1460.7697494592946
22,snf1,1,1436.0372504141928
23,hxk2,1,1657.4190806896513
24,glucose,2,563.2080996957209
30,petite,2,165.84418922593906
31,reg1,2,1802.6517961990796
32,rgt2snf3,2,7857.935436625135
33,mig1mig2,2,2273.8623663194116
34,snf1,2,1210.3001395597175
35,hxk2,2,2888.857412013044
36,glucose,3,1454.8660882827091
42,petite,3,557.0226581757194
43,reg1,3,2079.2762360440684
44,rgt2snf3,3,12641.052530390973
45,mig1mig2,3,1343.9734362217093
46,snf1,3,3003.8824935260986
47,hxk2,3,5068.5883616543915
